icao,iata,name,attr,longitude,latitude,level,city,tyep
ZSSR,SQD,上饶三清山,机场,117.975749,28.38263944,4C,上饶,民用运输机场
ZSSM,SQJ,三明沙县,机场,117.8449583,26.42921379,,三明,
ZGOW,SWA,揭阳潮汕,国际机场,116.5142827,23.55571485,4E,汕头,民用运输机场
ZWSS,SXJ,鄯善,,90.25585553,42.91944359,,,
ZPSM,SYM,普洱思茅,机场,100.9666814,22.79612829,,普洱,
ZJSY,SYX,三亚凤凰,国际机场,109.4227726,18.30750732,4E,三亚,民用运输机场
ZSSZ,SZV,苏州,机场,120.4122493,31.26700401,,,
ZGSZ,SZX,深圳宝安,国际机场,113.822618,22.64204791,4F,深圳,民用运输机场
ZSQD,TAO,青岛胶东,国际机场,120.3856153,36.2726235,4F,青岛,民用运输机场
ZWTC,TCG,塔城千泉,机场,83.35095939,46.67912978,,塔城,
ZPTC,TCZ,腾冲驼峰,机场,98.49269942,24.94104352,,腾冲,
ZUTR,TEN,铜仁凤凰,机场,109.319983,27.88635408,4C,铜仁,民用运输机场
ZUTF,TFU,成都天府,国际机场,104.4514817,30.31367024,4F,成都,民用运输机场
ZBTL,TGO,通辽,机场,122.2122051,43.56487239,,通辽,
ZLTS,THQ,天水麦积山,机场,105.8702877,34.56403213,,天水,
ZWTL,TLQ,吐鲁番交河,机场,89.10833473,43.03823092,,吐鲁番,
ZSJN,TNA,济南遥墙,国际机场,117.2284702,36.86383223,4E,济南,民用运输机场
ZYTN,TNH,通化三源浦,机场,125.7159942,42.26181143,,通化,
ZBTJ,TSN,天津滨海,国际机场,117.3718139,39.1335026,4E,天津,民用运输机场
ZBSN,TVS,唐山三女河,机场,118.0155202,39.72475603,,唐山,
ZSTX,TXN,黄山屯溪,国际机场,118.267681,29.73643684,4D,黄山,民用运输机场
ZBYN,TYN,太原武宿,国际机场,112.6408357,37.75316142,4E,太原,民用运输机场
ZBUC,UCB,乌兰察布集宁,机场,113.1219366,41.1373858,,乌兰察布,
ZWWW,URC,乌鲁木齐地窝堡,国际机场,87.48375413,43.91476539,4E,乌鲁木齐,民用运输机场
ZLYL,UYN,榆林榆阳,机场,109.6027938,38.36593487,4D,榆林,民用运输机场
ZHSY,WDS,十堰武当山,机场,110.919536,32.59527151,4C,十堰,民用运输机场
ZSWF,WEF,潍坊南苑,机场,119.1314999,36.65308437,4D,潍坊,军民合用机场
ZSWH,WEH,威海大水泊,国际机场,122.2403595,37.19355632,4D,威海,军民合用机场
ZGSY,WGN,邵阳武冈,机场,110.6530818,26.80471993,,邵阳,
ZSWU,WHU,芜湖,,118.4208869,31.39486279,,芜湖,
ZUMT,WMT,遵义茅台,机场,106.3429119,27.81930947,,遵义,
ZPWS,WNH,文山砚山,机场,104.334302,23.56148445,,文山,
ZSWZ,WNZ,温州龙湾,国际机场,120.862384,27.91508599,4E,温州,民用运输机场
ZUWS,WSK,重庆巫山,机场,109.7158725,31.07072536,4C,Wushan,民用运输机场
ZBUH,WUA,乌海,机场,106.8104436,39.80066412,,乌海,
ZHHH,WUH,武汉天河,国际机场,114.2199862,30.78752371,4F,武汉,民用运输机场
ZSWY,WUS,武夷山,机场,118.0126105,27.70441282,4C,武夷山,民用运输机场
ZBXZ,WUT,忻州五台山,机场,112.9823447,38.60365846,,忻州,
ZSWX,WUX,无锡苏南硕放,国际机场,120.4402467,31.49835159,4E,无锡,军民合用机场
ZGWZ,WUZ,梧州西江,机场,111.2595252,23.46035433,,梧州,
ZUWX,WXN,万州五桥,机场,108.444111,30.80521695,4C,万州,民用运输机场
ZYXC,XEN,兴城,机场,120.7096862,40.58796526,,,
ZHXF,XFN,襄阳刘集,机场,112.3033595,32.15459287,4D,襄阳,民用运输机场
ZUXC,XIC,西昌青山,机场,102.1921908,27.99142914,4D,西昌,军民合用机场
ZBXH,XIL,锡林浩特,机场,115.9771738,43.92325929,,锡林浩特,
ZGXN,XIN,梅州兴宁,机场,115.7693273,24.1523274,,,军用专用机场
ZLXY,XIY,西安咸阳,国际机场,108.7632848,34.45164852,4F,西安,民用运输机场
ZSAM,XMN,厦门高崎,国际机场,118.139516,24.54700248,4E,厦门,民用运输机场
ZLXN,XNN,西宁曹家堡,国际机场,102.0516039,36.53330211,4E,西宁,民用运输机场
ZBXT,XNT,邢台褡裢,机场,114.4420378,36.88939746,,,
ZSXZ,XUZ,徐州观音,国际机场,117.5674052,34.0633989,4E,徐州,民用运输机场
ZJYX,XYI,三沙永兴岛,机场,112.3556031,16.83917378,4C,三沙,军民合用机场
ZUYB,YBP,宜宾五粮液,机场,104.5405917,28.85385868,4C,宜宾,军民合用机场
